,,,,,1,14,10,179,19,11,37,12,5,,,,,,,,,,12.7383585,53,,,,20/12/17,15:55:11,,,,,,,70769379,70769382,70769383,,,,,,,,,,,,,,,,,,,,60
,,,,,1,15,5,179,15,11,37,16,10,,,,,,,,,,28.626482,67,,,,20/12/17,16:25:29,,,,,,,70769384,70769384,70769380,,,,,,,,,,,,,,,,,,,,55
,,,,,8,17,0,179,13,9,37,19,2,,,,,,,,,,13.099014,52,,,,20/12/17,16:57:55,,,,,,,70769387,70769387,70769388,,,,,,,,,,,,,,,,,,,,57
,,,,,1,20,8,179,17,8,37,18,1,,,,,,,,,,22.827625,83,,,,20/12/17,17:33:18,,,,,,,70769378,70769387,70769381,,,,,,,,,,,,,,,,,,,,56
,,,,,8,15,11,179,14,7,37,14,5,,,,,,,,,,16.522053,87,,,,20/12/17,18:05:12,,,,,,,70769380,70769387,70769384,,,,,,,,,,,,,,,,,,,,60
,,,,,8,14,10,179,15,5,37,19,12,,,,,,,,,,15.175543,60,,,,20/12/17,18:39:19,,,,,,,70769379,70769379,70769388,,,,,,,,,,,,,,,,,,,,53
,,,,,2,16,10,179,14,3,37,19,2,,,,,,,,,,24.828217,93,,,,20/12/17,19:11:00,,,,,,,70769379,70769387,70769378,,,,,,,,,,,,,,,,,,,,57
,,,,,2,13,3,179,12,7,37,16,3,,,,,,,,,,27.713924,69,,,,20/12/17,19:42:07,,,,,,,70769384,70769387,70769385,,,,,,,,,,,,,,,,,,,,60
,,,,,8,17,7,179,14,7,37,13,10,,,,,,,,,,20.020636,70,,,,20/12/17,20:11:05,,,,,,,70769378,70769386,70769382,,,,,,,,,,,,,,,,,,,,58
,,,,,4,18,0,179,19,5,37,18,3,,,,,,,,,,13.343576,112,,,,20/12/17,20:41:50,,,,,,,70769378,70769381,70769378,,,,,,,,,,,,,,,,,,,,55
,,,,,8,13,9,179,16,7,37,16,4,,,,,,,,,,16.357912,119,,,,20/12/17,21:15:57,,,,,,,70769385,70769387,70769378,,,,,,,,,,,,,,,,,,,,60
,,,,,1,13,8,179,19,1,37,17,0,,,,,,,,,,17.217987,115,,,,20/12/17,21:44:25,,,,,,,70769381,70769382,70769386,,,,,,,,,,,,,,,,,,,,52
,,,,,1,18,0,179,17,4,37,19,9,,,,,,,,,,19.748676,60,,,,20/12/17,22:14:45,,,,,,,70769380,70769384,70769383,,,,,,,,,,,,,,,,,,,,51
,,,,,2,13,7,179,13,1,37,12,9,,,,,,,,,,27.359776,56,,,,20/12/17,22:49:10,,,,,,,70769386,70769379,70769380,,,,,,,,,,,,,,,,,,,,56
,,,,,1,16,4,179,18,4,37,13,12,,,,,,,,,,24.54441,43,,,,20/12/17,23:21:17,,,,,,,70769387,70769383,70769381,,,,,,,,,,,,,,,,,,,,60
,,,,,8,18,6,179,19,7,37,12,8,,,,,,,,,,14.283487,43,,,,20/12/17,23:53:44,,,,,,,70769380,70769382,70769385,,,,,,,,,,,,,,,,,,,,53
,,,,,1,16,8,179,12,6,37,17,4,,,,,,,,,,14.720339,120,,,,21/12/17,00:26:03,,,,,,,70769384,70769385,70769382,,,,,,,,,,,,,,,,,,,,56
,,,,,8,17,10,179,19,10,37,17,0,,,,,,,,,,14.547565,42,,,,21/12/17,00:56:29,,,,,,,70769378,70769386,70769383,,,,,,,,,,,,,,,,,,,,58
,,,,,4,14,12,179,13,1,37,15,1,,,,,,,,,,12.575252,101,,,,21/12/17,01:27:23,,,,,,,70769380,70769385,70769378,,,,,,,,,,,,,,,,,,,,51
,,,,,2,18,8,179,20,2,37,12,2,,,,,,,,,,14.830845,101,,,,21/12/17,01:56:07,,,,,,,70769379,70769384,70769378,,,,,,,,,,,,,,,,,,,,58
,,,,,1,19,11,179,15,6,37,15,11,,,,,,,,,,16.056866,51,,,,21/12/17,02:29:19,,,,,,,70769388,70769380,70769383,,,,,,,,,,,,,,,,,,,,53
,,,,,4,15,3,179,17,1,37,16,9,,,,,,,,,,17.518532,88,,,,21/12/17,02:58:10,,,,,,,70769384,70769386,70769384,,,,,,,,,,,,,,,,,,,,59
,,,,,4,14,5,179,19,2,37,18,5,,,,,,,,,,24.723028,92,,,,21/12/17,03:32:17,,,,,,,70769381,70769381,70769382,,,,,,,,,,,,,,,,,,,,50
,,,,,8,17,8,179,20,11,37,20,1,,,,,,,,,,26.65861,45,,,,21/12/17,04:04:15,,,,,,,70769381,70769384,70769381,,,,,,,,,,,,,,,,,,,,55
,,,,,4,13,6,179,20,1,37,20,10,,,,,,,,,,17.448017,65,,,,21/12/17,04:35:06,,,,,,,70769386,70769388,70769382,,,,,,,,,,,,,,,,,,,,56
,,,,,8,14,12,179,20,0,37,16,0,,,,,,,,,,16.274954,101,,,,21/12/17,05:06:00,,,,,,,70769379,70769380,70769378,,,,,,,,,,,,,,,,,,,,58
,,,,,4,15,4,179,19,12,37,19,7,,,,,,,,,,23.38895,41,,,,21/12/17,05:36:29,,,,,,,70769380,70769381,70769383,,,,,,,,,,,,,,,,,,,,59
,,,,,8,19,12,179,19,3,37,18,8,,,,,,,,,,25.015207,63,,,,21/12/17,06:12:38,,,,,,,70769388,70769386,70769386,,,,,,,,,,,,,,,,,,,,52
